sportID,Sport,Country,Lat,Lon,participants_Count,medals_Count
1,Cross-Country Skiing,Algeria,36.5,3,1,0
1,Cross-Country Skiing,Andorra,42.3,1.3,1,0
1,Cross-Country Skiing,Argentina,-34.4,-58.3,1,0
1,Cross-Country Skiing,Armenia,40.1,44.31,2,0
1,Cross-Country Skiing,Australia,-35.18,149.08,3,0
1,Cross-Country Skiing,Austria,48.13,16.22,1,0
1,Cross-Country Skiing,Belarus,53.55,27.33,7,0
1,Cross-Country Skiing,Bermuda,32.18,-64.48,1,0
1,Cross-Country Skiing,Bosnia and Herzegovina,43.52,18.25,2,0
1,Cross-Country Skiing,Brazil,-15.45,-47.57,2,0
1,Cross-Country Skiing,Bulgaria,42.4,23.18,3,0
1,Cross-Country Skiing,Canada,45.25,-75.43,15,0
1,Cross-Country Skiing,China,39.55,116.26,5,0
1,Cross-Country Skiing,Croatia,45.48,15.58,2,0
1,Cross-Country Skiing,Czech Republic,50.06,14.26,10,5
1,Cross-Country Skiing,Denmark,55.43,12.34,1,0
1,Cross-Country Skiing,Estonia,59.22,24.48,13,1
1,Cross-Country Skiing,Ethiopia,9.03,38.42,1,0
1,Cross-Country Skiing,Finland,60.08,25,16,5
1,Cross-Country Skiing,France,48.5,2.2,13,0
1,Cross-Country Skiing,Germany,52.32,13.25,15,13
1,Cross-Country Skiing,Greece,38,23.44,2,0
1,Cross-Country Skiing,Hungary,47.3,19.03,1,0
1,Cross-Country Skiing,India,28.37,77.13,1,0
1,Cross-Country Skiing,Iran,35.4,51.26,3,0
1,Cross-Country Skiing,Ireland,53.2,-6.15,1,0
1,Cross-Country Skiing,Italy,41.48,12.36,18,1
1,Cross-Country Skiing,Japan,35.4,139.45,6,0
1,Cross-Country Skiing,Kazakhstan,43.19,76.55,11,0
1,Cross-Country Skiing,Kenya,-1.17,36.49,1,0
1,Cross-Country Skiing,"Korea, South",37.3,127,2,0
1,Cross-Country Skiing,Kyrgyzstan,40.07,71.44,1,0
1,Cross-Country Skiing,Latvia,56.4,106.1,2,0
1,Cross-Country Skiing,Lithuania,54.4,25.19,4,0
1,Cross-Country Skiing,Macedonia,42,21.28,3,0
1,Cross-Country Skiing,Moldova,47,28.5,2,0
1,Cross-Country Skiing,Mongolia,47.54,106.52,2,0
1,Cross-Country Skiing,Nepal,27.42,85.19,1,0
1,Cross-Country Skiing,New Zealand,-41.17,174.47,2,0
1,Cross-Country Skiing,Norway,59.55,10.45,19,16
1,Cross-Country Skiing,Peru,-12.06,-77.03,1,0
1,Cross-Country Skiing,Poland,52.15,21,6,3
1,Cross-Country Skiing,Portugal,38.44,-9.08,1,0
1,Cross-Country Skiing,Romania,44.25,26.07,3,0
1,Cross-Country Skiing,Russia,55.45,37.42,20,6
1,Cross-Country Skiing,Serbia,44.48,20.28,2,0
1,Cross-Country Skiing,Slovakia,48.1,17.1,5,2
1,Cross-Country Skiing,Slovenia,46.04,14.3,7,1
1,Cross-Country Skiing,South Africa,-25.45,28.12,1,0
1,Cross-Country Skiing,Spain,40.25,-3.43,4,0
1,Cross-Country Skiing,Sweden,59.2,1.03,17,11
1,Cross-Country Skiing,Switzerland,46.57,7.26,12,1
1,Cross-Country Skiing,Turkey,39.55,32.5,2,0
1,Cross-Country Skiing,Ukraine,50.25,30.3,8,0
1,Cross-Country Skiing,United Kingdom,51.3,-0.1,3,0
1,Cross-Country Skiing,United States,38.55,-77,11,0
2,Short Track,Australia,-35.18,149.08,2,0
2,Short Track,Austria,48.13,16.22,1,0
2,Short Track,Belgium,50.5,4.21,1,0
2,Short Track,Bulgaria,42.4,23.18,3,0
2,Short Track,Canada,45.25,-75.43,9,12
2,Short Track,China,39.55,116.26,10,7
2,Short Track,Czech Republic,50.06,14.26,1,0
2,Short Track,France,48.5,2.2,7,0
2,Short Track,Germany,52.32,13.25,6,0
2,Short Track,Hungary,47.3,19.03,7,0
2,Short Track,Italy,41.48,12.36,10,1
2,Short Track,Japan,35.4,139.45,8,0
2,Short Track,Kazakhstan,43.19,76.55,1,0
2,Short Track,"Korea, South",37.3,127,10,12
2,Short Track,Latvia,56.4,106.1,1,0
2,Short Track,Netherlands,52.21,4.54,7,0
2,Short Track,New Zealand,-41.17,174.47,1,0
2,Short Track,Poland,52.15,21,3,0
2,Short Track,Romania,44.25,26.07,1,0
2,Short Track,Russia,55.45,37.42,5,0
2,Short Track,United Kingdom,51.3,-0.1,7,0
2,Short Track,United States,38.55,-77,10,14
3,Biathlon,Australia,-35.18,149.08,1,0
3,Biathlon,Austria,48.13,16.22,5,5
3,Biathlon,Belarus,53.55,27.33,10,2
3,Biathlon,Bosnia and Herzegovina,43.52,18.25,1,0
3,Biathlon,Bulgaria,42.4,23.18,6,0
3,Biathlon,Canada,45.25,-75.43,7,0
3,Biathlon,China,39.55,116.26,6,0
3,Biathlon,Croatia,45.48,15.58,2,1
3,Biathlon,Czech Republic,50.06,14.26,10,0
3,Biathlon,Denmark,55.43,12.34,1,0
3,Biathlon,Estonia,59.22,24.48,9,0
3,Biathlon,Finland,60.08,25,4,0
3,Biathlon,France,48.5,2.2,11,9
3,Biathlon,Germany,52.32,13.25,12,5
3,Biathlon,Greece,38,23.44,2,0
3,Biathlon,Hungary,47.3,19.03,1,0
3,Biathlon,Italy,41.48,12.36,9,0
3,Biathlon,Japan,35.4,139.45,2,0
3,Biathlon,Kazakhstan,43.19,76.55,9,1
3,Biathlon,"Korea, South",37.3,127,2,0
3,Biathlon,Latvia,56.4,106.1,9,0
3,Biathlon,Lithuania,54.4,25.19,1,0
3,Biathlon,Moldova,47,28.5,2,0
3,Biathlon,New Zealand,-41.17,174.47,1,0
3,Biathlon,Norway,59.55,10.45,11,8
3,Biathlon,Poland,52.15,21,10,0
3,Biathlon,Romania,44.25,26.07,5,0
3,Biathlon,Russia,55.45,37.42,12,10
3,Biathlon,Serbia,44.48,20.28,1,0
3,Biathlon,Slovakia,48.1,17.1,10,1
3,Biathlon,Slovenia,46.04,14.3,8,0
3,Biathlon,Spain,40.25,-3.43,1,0
3,Biathlon,Sweden,59.2,1.03,10,1
3,Biathlon,Switzerland,46.57,7.26,6,0
3,Biathlon,Ukraine,50.25,30.3,11,0
3,Biathlon,United Kingdom,51.3,-0.1,1,0
3,Biathlon,United States,38.55,-77,9,0
4,Speed Skating,Australia,-35.18,149.08,1,0
4,Speed Skating,Austria,48.13,16.22,1,0
4,Speed Skating,Belarus,53.55,27.33,1,0
4,Speed Skating,Canada,45.25,-75.43,16,7
4,Speed Skating,China,39.55,116.26,13,1
4,Speed Skating,Czech Republic,50.06,14.26,2,3
4,Speed Skating,Denmark,55.43,12.34,1,0
4,Speed Skating,Finland,60.08,25,4,0
4,Speed Skating,France,48.5,2.2,2,0
4,Speed Skating,Germany,52.32,13.25,12,7
4,Speed Skating,Italy,41.48,12.36,5,0
